Daily_cases;Date;Open;High;Low;Close;Adj Close;Volume;Index;Name;Country_Name;Country_Code;WHO_region
0;29.05.2020;22781.11;23089.77;22781.11;22961.47;22961.47;3621412000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
3;28.05.2020;11040.62;11087.53;10915.3;10944.19;10944.19;3122300;TWII;TSEC weighted index;Taiwan;CN;WPRO
3;28.05.2020;10680.87;10727.99;10505.79;10653.49;10653.49;1156400;399001.SZ;Shenzhen Component;China;CN;WPRO
3;28.05.2020;2838.21;2861.92;2820.15;2846.22;2846.22;207500;000001.SS;SSE Composite Index;China;CN;WPRO
3;28.05.2020;23206.75;23451.78;22779.62;23132.76;23132.76;2356792600;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
1;27.05.2020;11023.93;11069.72;10972.25;11014.66;11014.66;2794500;TWII;TSEC weighted index;Taiwan;CN;WPRO
1;27.05.2020;10823.24;10823.24;10657.81;10682.7;10682.7;1129900;399001.SZ;Shenzhen Component;China;CN;WPRO
1;27.05.2020;2847.32;2849;2831.93;2836.8;2836.8;198100;000001.SS;SSE Composite Index;China;CN;WPRO
1;27.05.2020;23515.14;23515.14;23134.61;23301.36;23301.36;1837146100;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
7;26.05.2020;10903.32;11046.22;10903.32;10997.21;10997.21;2886300;TWII;TSEC weighted index;Taiwan;CN;WPRO
7;26.05.2020;10655.98;10816.71;10647.25;10815.43;10815.43;1065600;399001.SZ;Shenzhen Component;China;CN;WPRO
7;26.05.2020;2827.9;2848.34;2825.9;2846.55;2846.55;174600;000001.SS;SSE Composite Index;China;CN;WPRO
7;26.05.2020;23198.34;23481.48;23165.49;23384.66;23384.66;1421148200;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
11;25.05.2020;10812.94;10874.54;10719.25;10871.18;10871.18;2222100;TWII;TSEC weighted index;Taiwan;CN;WPRO
11;25.05.2020;10602.47;10629.61;10532.86;10592.84;10592.84;980400;399001.SZ;Shenzhen Component;China;CN;WPRO
11;25.05.2020;2816.24;2821.5;2802.47;2817.97;2817.97;172900;000001.SS;SSE Composite Index;China;CN;WPRO
11;25.05.2020;22725.7;22968.65;22519.73;22952.24;22952.24;1769029000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
13;22.05.2020;10977.55;10977.55;10804.56;10811.15;10811.15;2923700;TWII;TSEC weighted index;Taiwan;CN;WPRO
13;22.05.2020;10832.91;10832.91;10559.3;10604.97;10604.97;1273400;399001.SZ;Shenzhen Component;China;CN;WPRO
13;22.05.2020;2863.05;2863.05;2808.02;2813.76;2813.76;209100;000001.SS;SSE Composite Index;China;CN;WPRO
13;22.05.2020;23756.91;23756.91;22878.26;22930.14;22930.14;3680989100;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
2;21.05.2020;10933.21;11021.66;10933.21;11008.31;11008.31;2787700;TWII;TSEC weighted index;Taiwan;CN;WPRO
2;21.05.2020;10999.07;11007.14;10818.79;10845.4;10845.4;1365000;399001.SZ;Shenzhen Component;China;CN;WPRO
2;21.05.2020;2890.72;2891.52;2864.21;2867.92;2867.92;203500;000001.SS;SSE Composite Index;China;CN;WPRO
2;21.05.2020;24528.91;24528.91;24208.16;24280.03;24280.03;1474345000;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
5;20.05.2020;10892.76;10933.98;10860.15;10907.8;10907.8;2731300;TWII;TSEC weighted index;Taiwan;CN;WPRO
5;20.05.2020;11056.98;11056.98;10914.75;10948.48;10948.48;1491700;399001.SZ;Shenzhen Component;China;CN;WPRO
5;20.05.2020;2896.47;2896.47;2876.18;2883.74;2883.74;210500;000001.SS;SSE Composite Index;China;CN;WPRO
5;20.05.2020;24462.9;24514.87;24315.75;24399.95;24399.95;1432021300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
6;19.05.2020;10812.79;10924.79;10812.79;10860.44;10860.44;3048200;TWII;TSEC weighted index;Taiwan;CN;WPRO
6;19.05.2020;11023.43;11052.85;10978.72;11052.85;11052.85;1311500;399001.SZ;Shenzhen Component;China;CN;WPRO
6;19.05.2020;2897.69;2900.22;2887.58;2898.58;2898.58;197200;000001.SS;SSE Composite Index;China;CN;WPRO
6;19.05.2020;24489.55;24552.55;24314.45;24388.13;24388.13;2022987500;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
10;18.05.2020;10753.21;10812.87;10730.7;10740.55;10740.55;2716100;TWII;TSEC weighted index;Taiwan;CN;WPRO
10;18.05.2020;10969.08;11017.5;10858.46;10921.15;10921.15;1617400;399001.SZ;Shenzhen Component;China;CN;WPRO
10;18.05.2020;2872.52;2889.98;2862.27;2875.42;2875.42;226000;000001.SS;SSE Composite Index;China;CN;WPRO
10;18.05.2020;23736.67;23952.05;23722.17;23934.77;23934.77;1645114700;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
5;15.05.2020;10833.16;10904.01;10730.55;10814.92;10814.92;2749400;TWII;TSEC weighted index;Taiwan;CN;WPRO
5;15.05.2020;11013.16;11039.68;10919.54;10964.89;10964.89;1373500;399001.SZ;Shenzhen Component;China;CN;WPRO
5;15.05.2020;2880.71;2884.22;2863.37;2868.46;2868.46;189000;000001.SS;SSE Composite Index;China;CN;WPRO
5;15.05.2020;23834.68;23985.12;23671.61;23797.47;23797.47;1509478600;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
