Date,Open,High,Low,Close,Adj Close,Volume,Index
2020-03-24,9276.64,9672.01,9276.64,9658.32,9658.32,7547350000.0,NYA
2020-03-23,9014.58,9053.49,8664.94,8777.38,8777.38,7402180000.0,NYA
2020-03-20,9577.9,9676.94,9108.15,9133.16,9133.16,9044690000.0,NYA
2020-03-19,9313.76,9622.21,9048.36,9461.31,9461.31,7946710000.0,NYA
2020-03-18,9562.49,9666.57,8953.6,9384.6,9384.6,8755780000.0,NYA
2020-03-17,9726.18,10154.16,9484.65,10063.36,10063.36,8358500000.0,NYA
2020-03-16,10851.98,10851.98,9559.23,9567.53,9567.53,7781540000.0,NYA
2020-03-13,10445.44,10851.75,10060.35,10851.74,10851.74,8258670000.0,NYA
2020-03-12,10466.7,10646.92,10054.47,10060.76,10060.76,8829380000.0,NYA
2020-03-11,11523.94,11523.94,11053.79,11177.29,11177.29,7374110000.0,NYA
2020-03-10,11635.22,11794.01,11246.52,11793.27,11793.27,7635960000.0,NYA
2020-03-09,11748.61,11748.61,11240.77,11298.43,11298.43,8423050000.0,NYA
2020-03-06,12593.03,12593.03,12106.74,12352.03,12352.03,6552140000.0,NYA
2020-03-05,12740.86,12786.64,12489.77,12593.03,12593.03,5575550000.0,NYA
2020-03-04,12696.61,13011.45,12673.9,13009.96,13009.96,5035480000.0,NYA
2020-03-03,12845.06,13015.66,12432.52,12542.74,12542.74,6355940000.0,NYA
2020-03-02,12441.43,12830.13,12316.18,12827.99,12827.99,6376400000.0,NYA
2020-02-28,12547.25,12547.25,12024.45,12380.97,12380.97,8563850000.0,NYA
2020-02-27,12841.4,12977.18,12544.99,12547.25,12547.25,7058840000.0,NYA
2020-02-26,13194.31,13323.34,13041.94,13046.62,13046.62,5478110000.0,NYA
2020-02-25,13570.21,13582.74,13110.09,13143.73,13143.73,5591510000.0,NYA
2020-02-24,13654.0,13654.0,13493.68,13534.12,13534.12,4842960000.0,NYA
2020-02-21,14014.63,14014.63,13931.13,13975.78,13975.78,3899270000.0,NYA
2020-02-20,14061.04,14104.92,13955.75,14061.48,14061.48,4007320000.0,NYA
2020-02-19,14077.51,14115.95,14066.24,14087.13,14087.13,3600150000.0,NYA
2020-02-18,14047.91,14072.69,13990.7,14039.01,14039.01,3746720000.0,NYA
2020-02-14,14104.77,14110.19,14046.6,14097.34,14097.34,3398040000.0,NYA
2020-02-13,14069.25,14132.88,14049.13,14099.04,14099.04,3498240000.0,NYA
2020-02-12,14117.83,14148.24,14108.52,14136.98,14136.98,3926380000.0,NYA
2020-02-11,13984.48,14100.27,13984.48,14054.08,14054.08,3760550000.0,NYA
2020-02-10,13904.02,13984.55,13899.53,13984.48,13984.48,3450350000.0,NYA
2020-02-07,13987.51,13987.51,13912.04,13931.93,13931.93,3730650000.0,NYA
2020-02-06,14066.9,14069.33,14023.48,14034.95,14034.95,3868370000.0,NYA
2020-02-05,13964.0,14029.91,13947.59,14024.86,14024.86,4117730000.0,NYA
2020-02-04,13826.1,13920.63,13826.1,13862.84,13862.84,3995320000.0,NYA
2020-02-03,13655.89,13765.33,13655.89,13677.92,13677.92,3757910000.0,NYA
2020-01-31,13783.81,13788.22,13573.04,13614.1,13614.1,4527830000.0,NYA
2020-01-30,13745.2,13869.64,13699.81,13861.92,13861.92,3787250000.0,NYA
2020-01-29,13912.79,13922.44,13843.79,13843.81,13843.81,3584500000.0,NYA
2020-01-29,13912.79,13922.44,13843.79,13843.81,13843.81,3584500000.0,NYA
2020-01-28,13812.65,13913.59,13798.34,13877.61,13877.61,3526720000.0,NYA
2020-01-27,13746.63,13826.43,13742.01,13769.6,13769.6,3823100000.0,NYA
2020-01-24,14120.02,14120.02,13920.57,13978.47,13978.47,3707130000.0,NYA
2020-01-23,14064.28,14109.59,14003.28,14102.04,14102.04,3764860000.0,NYA
2020-01-22,14147.89,14168.2,14104.06,14110.24,14110.24,3619850000.0,NYA
2020-01-21,14126.12,14153.02,14102.39,14109.98,14109.98,4105340000.0,NYA
2020-01-17,14168.14,14183.26,14156.4,14183.2,14183.2,3698170000.0,NYA
2020-01-16,14103.53,14142.31,14094.88,14141.78,14141.78,3535080000.0,NYA
2020-01-15,14022.3,14089.94,14021.18,14053.23,14053.23,3716840000.0,NYA
2020-01-14,14024.23,14068.58,14005.63,14037.13,14037.13,3665130000.0,NYA
2020-01-13,13980.47,14042.65,13963.87,14042.65,14042.65,3456380000.0,NYA
2020-01-10,14018.12,14021.65,13941.52,13957.97,13957.97,3212970000.0,NYA
2020-01-09,13974.07,14004.42,13960.17,13997.65,13997.65,3638390000.0,NYA
2020-01-08,13897.01,13986.69,13896.59,13934.44,13934.44,3720890000.0,NYA
2020-01-07,13911.19,13923.51,13880.53,13898.45,13898.45,3420380000.0,NYA
2020-01-06,13856.72,13943.3,13852.73,13941.8,13941.8,3674070000.0,NYA
2020-01-03,13877.48,13950.74,13870.74,13917.05,13917.05,3461290000.0,NYA
2020-01-02,13913.03,14003.39,13913.03,14002.49,14002.49,3458250000.0,NYA
2020-11-24,2268.15,2306.46,2266.41,2301.58,2301.58,,XAX
2020-11-23,2200.79,2243.38,2200.79,2240.11,2240.11,,XAX
2020-11-20,2207.19,2212.9,2186.5,2200.79,2200.79,,XAX
2020-11-19,2162.65,2208.51,2151.88,2208.51,2208.51,,XAX
2020-11-18,2205.87,2211.18,2176.61,2177.95,2177.95,,XAX
2020-11-17,2166.77,2198.51,2153.01,2197.61,2197.61,,XAX
2020-11-16,2172.91,2194.91,2159.35,2179.74,2179.74,,XAX
2020-11-13,2142.58,2159.52,2131.36,2139.05,2139.05,,XAX
2020-11-12,2173.28,2173.28,2120.72,2132.05,2132.05,,XAX
2020-11-11,2181.48,2188.71,2155.12,2183.72,2183.72,,XAX
2020-11-10,2172.71,2180.04,2146.83,2164.7,2164.7,,XAX
2020-11-09,2119.62,2181.13,2119.62,2162.27,2162.27,,XAX
2020-11-06,2063.12,2083.7,2056.55,2072.23,2072.23,,XAX
2020-11-05,2047.48,2085.24,2047.14,2077.25,2077.25,,XAX
2020-11-04,2049.34,2065.84,2022.78,2025.74,2025.74,,XAX
2020-11-03,2028.84,2049.54,2023.29,2046.56,2046.56,,XAX
2020-11-02,1992.0,2013.45,1987.68,2002.58,2002.58,,XAX
2020-10-30,1962.79,1984.77,1950.38,1983.71,1983.71,,XAX
2020-10-29,1936.06,1965.52,1909.2,1963.39,1963.39,,XAX
2020-10-28,1962.4,1964.82,1927.24,1946.05,1946.05,,XAX
2020-10-27,1999.81,2021.98,1993.68,2002.1,2002.1,,XAX
2020-10-26,2015.52,2021.25,1983.33,2000.43,2000.43,,XAX
2020-10-23,2035.08,2051.67,2020.83,2036.51,2036.51,,XAX
2020-10-22,2013.18,2037.09,2001.51,2035.08,2035.08,,XAX
2020-10-21,2020.91,2029.38,2004.89,2013.18,2013.18,,XAX
2020-10-20,1993.28,2026.35,1993.28,2020.91,2020.91,,XAX
2020-10-19,2021.27,2035.26,1993.28,1993.28,1993.28,,XAX
2020-10-16,2026.8,2026.8,2009.3,2012.12,2012.12,,XAX
2020-10-15,1986.68,2031.78,1980.13,2027.28,2027.28,,XAX
2020-10-14,2017.0,2042.6,2006.72,2006.72,2006.72,,XAX
2020-10-13,2002.57,2013.09,1993.62,2008.05,2008.05,,XAX
2020-10-12,1994.05,2009.17,1982.9,2007.0,2007.0,,XAX
2020-10-09,2003.8,2009.57,1977.72,1997.03,1997.03,,XAX
2020-10-08,1948.95,1990.27,1948.86,1986.7,1986.7,,XAX
2020-10-07,1927.08,1942.97,1922.04,1930.93,1930.93,,XAX
2020-10-06,1948.38,1962.5,1914.02,1916.34,1916.34,,XAX
2020-10-05,1924.77,1938.56,1918.42,1937.57,1937.57,,XAX
2020-10-02,1867.89,1917.54,1864.66,1910.37,1910.37,,XAX
2020-10-01,1914.89,1932.43,1892.71,1904.19,1904.19,,XAX
2020-09-30,1931.78,1938.92,1900.04,1907.81,1907.81,,XAX
2020-09-29,1958.34,1962.78,1926.09,1934.05,1934.05,,XAX
2020-09-28,1944.68,1959.16,1943.4,1947.6,1947.6,,XAX
2020-09-25,1919.83,1935.27,1914.48,1931.01,1931.01,,XAX
2020-09-24,1899.85,1945.54,1892.7,1930.71,1930.71,,XAX
2020-09-23,1985.51,1990.6,1908.87,1909.57,1909.57,,XAX
2020-09-22,1982.58,2003.15,1975.26,1992.71,1992.71,,XAX
2020-09-21,2014.74,2043.74,1963.31,2043.74,2043.74,,XAX
2020-09-18,2061.82,2061.84,2036.05,2043.7,2043.7,,XAX
2020-09-17,2042.15,2064.1,2028.31,2056.78,2056.78,,XAX
2020-09-16,2042.97,2083.33,2035.19,2061.74,2061.74,,XAX
2020-09-15,2047.57,2059.2,2027.43,2028.99,2028.99,,XAX
2020-09-14,2018.04,2042.13,2013.11,2037.01,2037.01,,XAX
2020-09-11,2023.51,2023.95,1995.35,2007.72,2007.72,,XAX
2020-09-10,2050.05,2050.05,2016.93,2017.29,2017.29,,XAX
2020-09-09,2032.52,2055.76,2032.52,2040.47,2040.47,,XAX
2020-09-08,2050.94,2055.12,2017.63,2019.39,2019.39,,XAX
2020-09-04,2093.76,2095.25,2048.88,2090.46,2090.46,,XAX
2020-09-03,2105.19,2120.37,2075.08,2090.46,2090.46,,XAX
2020-09-02,2118.26,2121.05,2089.56,2115.79,2115.79,,XAX
2020-09-01,2113.77,2136.93,2111.38,2122.88,2122.88,,XAX
2020-08-31,2121.28,2129.7,2104.99,2105.19,2105.19,,XAX
2020-08-28,2111.46,2121.29,2098.25,2121.29,2121.29,,XAX
2020-08-27,2097.47,2107.38,2079.31,2097.26,2097.26,,XAX
2020-08-26,2107.26,2111.56,2082.55,2095.61,2095.61,,XAX
2020-08-25,2128.33,2132.63,2095.36,2110.45,2110.45,,XAX
2020-08-24,2096.86,2121.38,2090.45,2118.77,2118.77,,XAX
2020-08-21,2080.0,2081.29,2065.74,2080.36,2080.36,,XAX
2020-08-20,2093.05,2107.06,2088.62,2094.49,2094.49,,XAX
2020-08-19,2132.01,2136.7,2102.72,2105.97,2105.97,,XAX
2020-08-18,2175.51,2180.51,2137.33,2138.08,2138.08,,XAX
2020-08-17,2169.64,2172.27,2155.79,2170.18,2170.18,,XAX
2020-08-14,2151.78,2157.06,2142.92,2155.36,2155.36,,XAX
2020-08-13,2147.93,2168.18,2147.93,2157.5,2157.5,,XAX
2020-08-12,2170.12,2170.12,2145.99,2148.52,2148.52,,XAX
2020-08-11,2163.78,2184.75,2131.97,2133.6,2133.6,,XAX
2020-08-10,2144.23,2173.86,2139.63,2168.21,2168.21,,XAX
2020-08-07,2133.86,2137.85,2115.49,2137.31,2137.31,,XAX
2020-08-06,2143.29,2161.5,2134.98,2141.35,2141.35,,XAX
2020-08-05,2162.04,2181.37,2133.99,2143.29,2143.29,,XAX
2020-08-04,2078.03,2129.26,2077.26,2126.07,2126.07,,XAX
2020-08-03,2063.51,2082.45,2051.51,2072.93,2072.93,,XAX
2020-07-31,2068.9,2081.48,2043.37,2058.74,2058.74,,XAX
2020-07-30,2066.28,2073.87,2037.01,2073.46,2073.46,,XAX
2020-07-29,2070.45,2091.93,2049.11,2091.04,2091.04,,XAX
2020-07-28,2080.33,2087.2,2063.02,2063.79,2063.79,,XAX
2020-07-27,2067.6,2094.12,2067.6,2087.82,2087.82,,XAX
2020-07-24,2080.23,2087.48,2066.67,2067.55,2067.55,,XAX
2020-07-23,2091.84,2098.78,2070.47,2080.83,2080.83,,XAX
2020-07-22,2109.31,2109.31,2073.79,2090.82,2090.82,,XAX
2020-07-21,2054.75,2117.12,2054.75,2109.33,2109.33,,XAX
2020-07-20,2041.18,2054.89,2022.94,2025.03,2025.03,,XAX
2020-07-17,2034.43,2050.84,2020.76,2037.89,2037.89,,XAX
2020-07-16,2044.71,2045.77,2019.87,2035.44,2035.44,,XAX
2020-07-15,2022.89,2047.22,2022.6,2044.71,2044.71,,XAX
2020-07-14,1968.75,2006.33,1955.95,1967.54,1967.54,,XAX
2020-07-13,1984.77,1997.71,1965.82,1967.54,1967.54,,XAX
2020-07-10,1966.29,1978.09,1959.17,1977.91,1977.91,,XAX
2020-07-09,2007.13,2007.13,1954.69,1970.78,1970.78,,XAX
2020-07-08,2024.67,2044.6,2000.16,2004.65,2004.65,,XAX
2020-07-07,2018.01,2036.9,2005.1,2016.44,2016.44,,XAX
2020-07-06,2013.89,2036.15,2011.07,2028.79,2028.79,,XAX
2020-07-02,2009.56,2022.8,1988.36,1989.24,1989.24,,XAX
2020-07-01,1993.15,2003.27,1967.2,1976.06,1976.06,,XAX
2020-06-30,1948.03,1996.55,1934.98,1993.15,1993.15,,XAX
2020-06-29,1911.76,1960.4,1911.76,1952.98,1952.98,,XAX
2020-06-26,1951.42,1953.06,1909.69,1911.76,1911.76,,XAX
2020-06-25,1935.84,1968.49,1933.78,1956.82,1956.82,,XAX
2020-06-24,1983.54,1983.54,1928.63,1949.7,1949.7,,XAX
2020-06-23,1991.86,2024.18,1990.19,1993.47,1993.47,,XAX
2020-06-22,1982.13,2000.92,1979.51,1991.82,1991.82,,XAX
2020-06-19,2011.23,2016.01,1976.3,1981.55,1981.55,,XAX
2020-06-18,1984.02,2010.89,1982.92,1987.24,1987.24,,XAX
2020-06-17,2031.86,2031.92,1992.46,1992.46,1992.46,,XAX
2020-06-16,2048.9,2048.9,1999.14,2025.96,2025.96,,XAX
2020-06-15,1921.9,2004.08,1905.79,1999.6,1999.6,,XAX
2020-06-12,2013.49,2021.37,1948.98,1976.91,1976.91,,XAX
2020-06-11,2011.74,2023.97,1944.42,1954.69,1954.69,,XAX
2020-06-10,2124.33,2129.98,2081.31,2087.39,2087.39,,XAX
2020-06-09,2124.53,2140.63,2103.7,2131.83,2131.83,,XAX
2020-06-08,2131.52,2148.41,2113.53,2146.52,2146.52,,XAX
2020-06-05,2090.53,2108.75,2080.33,2095.69,2095.69,,XAX
2020-06-04,2022.35,2034.33,2007.46,2030.58,2030.58,,XAX
2020-06-03,1997.12,2031.63,1991.56,2025.2,2025.2,,XAX
2020-06-02,1954.93,1992.06,1954.93,1989.59,1989.59,,XAX
2020-06-01,1923.69,1956.68,1907.12,1952.22,1952.22,,XAX
2020-05-29,1932.49,1932.49,1896.69,1921.86,1921.86,,XAX
2020-05-28,1964.41,1968.22,1927.61,1933.86,1933.86,,XAX
2020-05-27,1959.94,1963.68,1904.45,1963.43,1963.43,,XAX
2020-05-26,1958.02,1958.42,1938.58,1945.21,1945.21,,XAX
2020-05-22,1914.94,1922.54,1898.82,1922.35,1922.35,,XAX
2020-05-21,1936.78,1936.78,1894.35,1916.06,1916.06,,XAX
2020-05-20,1919.06,1947.73,1911.18,1941.6,1941.6,,XAX
2020-05-19,1902.88,1914.87,1882.4,1884.52,1884.52,,XAX
2020-05-18,1870.59,1908.97,1870.38,1904.81,1904.81,,XAX
