date,daily_cases,Country
"June 22, 2020","['1,634', '1,634']",AR
"June 21, 2020","['2,060']",AR
"June 20, 2020","['1,958', '1,958']",AR
"June 19, 2020","['1,393']",AR
"June 18, 2020","['1,374', '1,374']",AR
"June 17, 2020","['1,208']",AR
"June 16, 2020","['1,282', '1,282']",AR
"June 15, 2020","['1,531']",AR
"June 14, 2020","['1,391', '1,391']",AR
"June 13, 2020","['1,386']",AR
"June 12, 2020","['1,226', '1,226']",AR
"June 11, 2020","['1,141']",AR
"June 10, 2020","['826', '826']",AR
"June 9, 2020",['774'],AR
"June 8, 2020","['983', '983']",AR
"June 7, 2020",['840'],AR
"June 6, 2020",['929'],AR
"June 5, 2020","['949', '949']",AR
"June 4, 2020",['904'],AR
"June 3, 2020","['564', '564']",AR
"June 2, 2020",['637'],AR
"June 1, 2020","['1,512', '1,512']",AR
"May 31, 2020",['0'],AR
"May 30, 2020","['769', '769']",AR
"May 29, 2020",['705'],AR
"May 28, 2020","['600', '600']",AR
"May 27, 2020",['552'],AR
"May 26, 2020","['723', '723']",AR
"May 25, 2020",['704'],AR
"May 24, 2020","['718', '718']",AR
"May 23, 2020",['648'],AR
"May 22, 2020","['474', '474']",AR
"May 21, 2020",['438'],AR
"May 20, 2020",['303'],AR
"May 19, 2020","['263', '263']",AR
"May 18, 2020",['326'],AR
"May 17, 2020","['345', '345']",AR
"May 16, 2020",['161'],AR
"May 15, 2020","['410', '410']",AR
"May 14, 2020",['285'],AR
"May 13, 2020","['244', '244']",AR
"May 12, 2020",['110'],AR
"May 11, 2020","['244', '244']",AR
"May 10, 2020",['150'],AR
"May 9, 2020","['225', '225']",AR
"May 8, 2020",['229'],AR
"May 7, 2020","['154', '154']",AR
"May 6, 2020",['123'],AR
"May 5, 2020","['118', '118']",AR
"May 4, 2020",['149'],AR
"May 3, 2020","['56', '56']",AR
"May 2, 2020",['172'],AR
"May 1, 2020",['103'],AR
"April 30, 2020","['182', '182']",AR
"April 29, 2020",['127'],AR
"April 28, 2020","['54', '54']",AR
"April 27, 2020",['137'],AR
"April 26, 2020","['222', '222']",AR
"April 25, 2020",['139'],AR
"April 24, 2020","['143', '143']",AR
"April 23, 2020",['124'],AR
"April 22, 2020","['113', '113']",AR
"April 21, 2020",['121'],AR
"April 20, 2020","['55', '55']",AR
"April 19, 2020",['90'],AR
"April 18, 2020","['96', '96']",AR
"April 17, 2020",['121'],AR
"April 16, 2020","['141', '141']",AR
"April 15, 2020",['84'],AR
"April 14, 2020","['277', '277']",AR
"April 13, 2020",['0'],AR
"April 12, 2020",['46'],AR
