Date,Open,High,Low,Close*,Adj Close**,Volume,Index
"Jun 03, 2020","1,413.56","1,415.57","1,402.41","1,407.04","1,407.04","85,655,200",^TA125.TA
"Jun 02, 2020","1,406.72","1,417.81","1,398.78","1,405.31","1,405.31","83,796,900",^TA125.TA
"Jun 01, 2020","1,399.62","1,405.53","1,381.79","1,404.65","1,404.65","95,340,200",^TA125.TA
"May 31, 2020",-,-,-,-,-,-,^TA125.TA
"May 27, 2020","1,424.68","1,428.03","1,406.87","1,410.42","1,410.42","137,665,900",^TA125.TA
"May 26, 2020","1,444.31","1,445.89","1,421.90","1,423.74","1,423.74","89,601,200",^TA125.TA
"May 25, 2020","1,428.24","1,434.16","1,423.74","1,429.33","1,429.33","68,947,200",^TA125.TA
"May 24, 2020",-,-,-,-,-,-,^TA125.TA
"May 21, 2020","1,412.35","1,413.15","1,400.07","1,406.84","1,406.84","77,687,500",^TA125.TA
"May 20, 2020","1,404.11","1,417.24","1,401.61","1,414.29","1,414.29","56,889,200",^TA125.TA
"May 19, 2020","1,414.23","1,416.47","1,398.05","1,406.46","1,406.46","62,634,500",^TA125.TA
"May 18, 2020","1,389.65","1,407.85","1,387.65","1,401.79","1,401.79","70,002,600",^TA125.TA
"May 17, 2020",-,-,-,-,-,-,^TA125.TA
"May 14, 2020","1,376.56","1,376.56","1,327.79","1,331.24","1,331.24","103,782,700",^TA125.TA
"May 13, 2020","1,412.20","1,412.20","1,391.25","1,395.97","1,395.97","100,047,000",^TA125.TA
"May 12, 2020","1,427.06","1,437.13","1,413.37","1,418.25","1,418.25","96,496,600",^TA125.TA
"May 11, 2020","1,437.25","1,439.16","1,412.73","1,423.97","1,423.97","70,691,300",^TA125.TA
"May 07, 2020","1,400.35","1,415.32","1,400.35","1,411.05","1,411.05","144,515,300",^TA125.TA
"May 06, 2020","1,398.09","1,408.35","1,390.91","1,392.13","1,392.13","70,122,700",^TA125.TA
"May 05, 2020","1,377.34","1,393.14","1,376.95","1,391.20","1,391.20","85,298,100",^TA125.TA
"May 04, 2020","1,378.30","1,380.63","1,350.65","1,361.69","1,361.69","77,745,000",^TA125.TA
"May 03, 2020",-,-,-,-,-,-,^TA125.TA
"Apr 30, 2020","1,440.99","1,444.87","1,402.79","1,405.90","1,405.90","139,391,400",^TA125.TA
"Apr 27, 2020","1,388.46","1,402.82","1,382.89","1,390.39","1,390.39","87,395,000",^TA125.TA
"Apr 26, 2020",-,-,-,-,-,-,^TA125.TA
"Apr 23, 2020","1,332.74","1,347.24","1,331.00","1,341.42","1,341.42","159,370,700",^TA125.TA
"Apr 22, 2020","1,323.80","1,332.50","1,316.44","1,323.04","1,323.04","94,344,000",^TA125.TA
"Apr 21, 2020","1,347.93","1,348.75","1,313.91","1,319.51","1,319.51","112,514,900",^TA125.TA
"Apr 20, 2020","1,366.51","1,366.51","1,342.01","1,346.54","1,346.54","97,089,800",^TA125.TA
"Apr 19, 2020",-,-,-,-,-,-,^TA125.TA
"Apr 16, 2020","1,324.77","1,327.67","1,292.37","1,292.53","1,292.53","146,876,100",^TA125.TA
"Apr 13, 2020","1,328.67","1,329.96","1,309.30","1,318.77","1,318.77","74,422,000",^TA125.TA
"Apr 12, 2020",-,-,-,-,-,-,^TA125.TA
"Apr 07, 2020","1,294.22","1,320.04","1,293.75","1,309.02","1,309.02","162,599,100",^TA125.TA
"Apr 06, 2020","1,245.65","1,270.15","1,234.52","1,268.96","1,268.96","130,289,200",^TA125.TA
"Apr 05, 2020",-,-,-,-,-,-,^TA125.TA
"Apr 02, 2020","1,245.41","1,256.68","1,226.87","1,229.70","1,229.70","203,085,800",^TA125.TA
"Apr 01, 2020","1,243.15","1,249.35","1,227.60","1,233.78","1,233.78","106,236,900",^TA125.TA
"Mar 31, 2020","1,260.87","1,287.65","1,245.89","1,271.27","1,271.27","173,361,700",^TA125.TA
"Mar 30, 2020","1,228.86","1,245.02","1,216.88","1,235.21","1,235.21","117,596,200",^TA125.TA
"Mar 29, 2020",-,-,-,-,-,-,^TA125.TA
"Mar 26, 2020","1,186.75","1,235.99","1,179.38","1,230.34","1,230.34","233,486,600",^TA125.TA
"Mar 25, 2020","1,209.59","1,219.93","1,166.26","1,191.91","1,191.91","156,725,800",^TA125.TA
"Mar 24, 2020","1,149.62","1,193.60","1,147.28","1,180.72","1,180.72","129,935,200",^TA125.TA
"Mar 23, 2020","1,089.58","1,147.34","1,076.65","1,109.63","1,109.63","132,376,900",^TA125.TA
"Mar 22, 2020",-,-,-,-,-,-,^TA125.TA
"Mar 19, 2020","1,106.61","1,168.74","1,102.47","1,161.96","1,161.96","164,084,700",^TA125.TA
"Mar 18, 2020","1,142.25","1,146.98","1,113.17","1,116.21","1,116.21","127,365,700",^TA125.TA
"Mar 17, 2020","1,199.31","1,199.31","1,142.16","1,183.85","1,183.85","146,199,900",^TA125.TA
"Mar 16, 2020","1,177.57","1,177.57","1,120.00","1,160.63","1,160.63","138,219,500",^TA125.TA
"Mar 15, 2020",-,-,-,-,-,-,^TA125.TA
"Mar 12, 2020","1,196.17","1,212.25","1,155.81","1,201.03","1,201.03","228,968,400",^TA125.TA
"Mar 11, 2020","1,309.35","1,351.38","1,271.60","1,274.46","1,274.46","164,443,000",^TA125.TA
"Mar 09, 2020","1,318.97","1,351.46","1,285.68","1,321.75","1,321.75","208,432,600",^TA125.TA
"Mar 08, 2020",-,-,-,-,-,-,^TA125.TA
"Mar 05, 2020","1,509.95","1,512.26","1,466.80","1,474.66","1,474.66","177,154,500",^TA125.TA
"Mar 04, 2020","1,534.99","1,536.07","1,499.49","1,504.92","1,504.92","96,327,200",^TA125.TA
"Mar 03, 2020","1,561.34","1,567.99","1,537.97","1,547.90","1,547.90","91,109,500",^TA125.TA
"Mar 01, 2020",-,-,-,-,-,-,^TA125.TA
"Feb 27, 2020","1,590.72","1,591.00","1,542.55","1,550.05","1,550.05","139,531,600",^TA125.TA
"Feb 26, 2020","1,591.28","1,621.50","1,573.31","1,608.68","1,608.68","95,390,200",^TA125.TA
"Feb 25, 2020","1,611.16","1,620.23","1,589.73","1,614.89","1,614.89","51,790,300",^TA125.TA
"Feb 24, 2020","1,599.41","1,603.96","1,572.73","1,603.61","1,603.61","106,183,600",^TA125.TA
"Feb 23, 2020",-,-,-,-,-,-,^TA125.TA
"Feb 20, 2020","1,678.13","1,681.57","1,664.29","1,669.26","1,669.26","75,837,700",^TA125.TA
"Feb 19, 2020","1,663.72","1,677.20","1,662.10","1,674.13","1,674.13","49,596,900",^TA125.TA
"Feb 18, 2020","1,651.99","1,656.72","1,648.03","1,655.48","1,655.48","46,555,100",^TA125.TA
"Feb 17, 2020","1,674.02","1,678.62","1,665.00","1,666.27","1,666.27","49,567,200",^TA125.TA
"Feb 16, 2020",-,-,-,-,-,-,^TA125.TA
"Feb 13, 2020","1,678.00","1,679.10","1,657.28","1,663.10","1,663.10","63,566,700",^TA125.TA
"Feb 12, 2020","1,664.44","1,684.12","1,664.44","1,683.91","1,683.91","88,317,200",^TA125.TA
"Feb 11, 2020","1,653.80","1,665.32","1,650.17","1,664.21","1,664.21","92,860,700",^TA125.TA
"Feb 10, 2020","1,640.85","1,644.58","1,631.76","1,643.90","1,643.90","78,247,800",^TA125.TA
"Feb 09, 2020",-,-,-,-,-,-,^TA125.TA
"Feb 06, 2020","1,673.96","1,673.96","1,662.65","1,664.92","1,664.92","270,390,300",^TA125.TA
"Feb 05, 2020","1,633.45","1,657.18","1,630.80","1,655.09","1,655.09","91,732,500",^TA125.TA
"Feb 04, 2020","1,614.32","1,630.18","1,614.32","1,628.38","1,628.38","117,058,000",^TA125.TA
"Feb 03, 2020","1,591.16","1,605.97","1,578.95","1,604.69","1,604.69","105,047,000",^TA125.TA
"Feb 02, 2020",-,-,-,-,-,-,^TA125.TA
"Jan 30, 2020","1,633.70","1,636.74","1,626.90","1,636.29","1,636.29","136,243,800",^TA125.TA
"Jan 29, 2020","1,640.53","1,651.63","1,638.97","1,640.06","1,640.06","72,423,100",^TA125.TA
"Jan 28, 2020","1,643.19","1,647.79","1,630.28","1,639.50","1,639.50","89,135,900",^TA125.TA
"Jan 27, 2020","1,652.61","1,652.61","1,629.33","1,634.80","1,634.80","93,217,900",^TA125.TA
"Jan 26, 2020",-,-,-,-,-,-,^TA125.TA
"Jan 23, 2020","1,680.50","1,684.78","1,675.64","1,678.89","1,678.89","79,141,500",^TA125.TA
"Jan 22, 2020","1,670.52","1,683.91","1,670.52","1,681.86","1,681.86","54,200,700",^TA125.TA
"Jan 21, 2020","1,659.46","1,665.35","1,648.27","1,663.57","1,663.57","57,510,900",^TA125.TA
"Jan 20, 2020","1,665.29","1,666.40","1,659.22","1,660.69","1,660.69","56,976,300",^TA125.TA
"Jan 19, 2020",-,-,-,-,-,-,^TA125.TA
"Jan 16, 2020","1,648.89","1,657.87","1,648.34","1,657.32","1,657.32","47,813,100",^TA125.TA
"Jan 15, 2020","1,638.34","1,645.80","1,637.07","1,644.60","1,644.60","76,401,500",^TA125.TA
"Jan 14, 2020","1,628.45","1,630.72","1,623.57","1,629.77","1,629.77","75,172,300",^TA125.TA
"Jan 13, 2020","1,623.43","1,625.89","1,618.41","1,622.63","1,622.63","82,149,300",^TA125.TA
"Jan 12, 2020",-,-,-,-,-,-,^TA125.TA
"Jan 09, 2020","1,623.39","1,628.24","1,620.80","1,621.61","1,621.61","90,358,900",^TA125.TA
"Jan 08, 2020","1,614.97","1,622.39","1,610.91","1,622.05","1,622.05","106,231,700",^TA125.TA
"Jan 07, 2020","1,620.94","1,622.01","1,612.56","1,614.91","1,614.91","66,628,600",^TA125.TA
"Jan 06, 2020","1,622.82","1,623.22","1,605.96","1,616.27","1,616.27","62,182,300",^TA125.TA
"Jan 05, 2020",-,-,-,-,-,-,^TA125.TA
"Jan 02, 2020","1,624.05","1,635.90","1,624.05","1,633.84","1,633.84","145,565,900",^TA125.TA
"Nov 24, 2020","3,672.82","3,733.82","3,672.14","3,733.82","3,733.82",-,^JN0U.JO
